",""X1"",""X2""";;;;;;;;;
"1152,""Works great"",""Reviewed in the United States on December 12, 2019""";;;;;;;;;
"1153,""THIS VACUUM WILL ONLY LAST YOU A YEAR! I purchased this in sept 2018. It's now December 2019. My vaccum no longer changes on the charging doc. I'm not gona lie it did great up until it broke. I just didnt expect 200 dollars of a product the only last me one year!DONT BUY"",""Reviewed in the United States on December 12, 2019""";;;;;;;;;
"1154,""These work fine as vacuum cleaners, but they stopped charging after less than a year. I bought one Deebot vacuum for myself and one as a gift for my parents. A few months ago, our Deebot stopped charging and we were eventually sent a replacement (after having to ship our original one back to the manufacturer). Turns out that our replacement doesn’t charge on the charging pad either. I also just learned that the one I bought for my parents stopped charging as well. These vacuums aren’t THAT cheap, and now I’m stuck with two broken ones. Ultimately, I regret not just buying a Roomba."",""Reviewed in the United States on December 12, 2019""";;;;;;;;;
"1155,""Love this! We originally bought and still have the 500 series, both work amazingly. We have hard wood floors and tile in our whole house with area rugs here and there along with 3 German Shepherds and 3 boys. We run both at the same time to decrease cleaning time and increase the ability to run multiple times a day (like I said we have 3dogs and boys). The only thing I wish they did better was get in the corners (nothing a quick broom doesn't fix). We have also since bought one for our parents. Highly recommend to anyone who is low on time and high on the need for quick easy cleaning. Ease of set up and running makes this so user friendly. Who doesn't want to be able to vacuum your house on the way to or from work or better yet when running the kids to and from sports??"",""Reviewed in the United States on December 12, 2019""";;;;;;;;;
"1156,""The deebot does a great job!"",""Reviewed in the United States on December 12, 2019""";;;;;;;;;
"1157,""I purchased this vacuum in May 2018.  It worked well until March 2019, at which time it started to give 4 beeps and a “main brush error” shortly after starting.  I could not resolve the issue and contacted Ecovacs customer service, which offered to exchange the unit.  I received a refurbished vacuum as an exchange, which then worked until November 2019 when it started to give 4 beeps and the main brush error after starting.  I was again unable to resolve the problem. I emailed customer service twice and have received no response."",""Reviewed in the United States on December 11, 2019""";;;;;;;;;
"1158,""I absolutely love my robot vacuum. This is actually my second one of the same style!! I use mine daily and with teenage boys, two large dogs and living on a farm this vacuum keeps my floors clean. It runs for what seems like a solid two hours each day, has no issues going over small carpeted/rugged areas. But if you have shag carpet/rugs I recommend keeping it away. The replacement parts are easy to get and put on should you ever need it. Highly recommend."",""Reviewed in the United States on December 11, 2019""";;;;;;;;;
"1159,""I love debott. I have one in both of my homes and sent one as gift."",""Reviewed in the United States on December 11, 2019""";;;;;;;;;
"1160,"" Much quieter and larger then the one I had to return. Unit holds more dirt. It has  brush that rotates built in so it makes picking up dirt on carpet easier. This unit has over 5000 reviews and wasn’t much more than my other one. It works with Alexa. All of them have pluses and minuses but I am very happy with it. This one is a keeper!!! I recommend it highly!  I have a multiple cat household so it vacuums and then I can steam mop my hardwood floors"",""Reviewed in the United States on December 11, 2019""";;;;;;;;;
"1161,""Cleans great!  It has trouble finding its way home. It was a refurbished item so may not be an issue with a new one."",""Reviewed in the United States on December 11, 2019""";;;;;;;;;
"1162,""So far this is a wonderful product works exactly as described it is quiet and keeps my house clean"",""Reviewed in the United States on December 11, 2019""";;;;;;;;;
"1163,""Bought this for my parents, who have dogs and like a clean house, but are getting up there in years.  Now they have no dog hair, they find the item to be cute, and it is very easy to use.  You don't need to use all the app/phone stuff with it, and it is simple to program even just with the remote.  Works great: they have wood floors with area rugs, and it does the transitions from the rugs to the floor and back again easily."",""Reviewed in the United States on December 11, 2019""";;;;;;;;;
"1164,""It couldn't hold a charge after a week"",""Reviewed in the United States on December 11, 2019""";;;;;;;;;
"1165,""Love this easy to use"",""Reviewed in the United States on December 11, 2019""";;;;;;;;;
"1166,""Works goodSome problem with the brushes when we bought it.But everything else I still have it and is great"",""Reviewed in the United States on December 10, 2019""";;;;;;;;;
"1167,""after use of 1 year, the motor went out and it makes a high pitch noise.  I called t he dealer, who said it was out of warranty after 1 years time...."",""Reviewed in the United States on December 10, 2019""";;;;;;;;;
"1168,""My wife wanted this for Christmas and I gave it too her as soon as we got it. So far wow!!! This thing is amazing. Easy to connect to wifi. Works great!!! All our floors are hardwood or tile except the master bedroom.  Not great on carpet but works for surface stuff. But is amazing on hardwood and tile. We have two dogs and 4 cats so we need help. I am very pleased so far!! Will update in a couple months on durability! Does need to be dumped daily."",""Reviewed in the United States on December 9, 2019""";;;;;;;;;
"1169,""The machine passses over spots more than one time. I have two dogs that shed alot and so far it's been great. Has helped keep my house clean between the vaccum mop."",""Reviewed in the United States on December 9, 2019""";;;;;;;;;
"1170,""I have a large dog, a cat, and kids and I live in a rural area with a dirt driveway. This robotic vacuum cleans up after them like a dream. Pet hair on my floors is a thing of the past.  I can't believe how well this little robot works.  I've had it for over a year now and it still works just as well as when I first got it.  I run it nearly every day and it always finds pet hair and dirt. My house stays cleaner with this vacuum.  I use it on wood floors and carpet without a problem.  My carpets are not high pile, though.  I highly recommend this Deebot vacuum."",""Reviewed in the United States on December 9, 2019""";;;;;;;;;
"1171,""Great for are bedroom n bathroomMight buy another"",""Reviewed in the United States on December 9, 2019""";;;;;;;;;
"1172,""Disappointed I have to constantly come to the rescue, gets stuck under furniture, and in carpet. There’s not even 1 day when I don’t have to come and find where it gets stuck.  I wish I could return."",""Reviewed in the United States on December 9, 2019""";;;;;;;;;
"1173,""Trust me when I say this. Trust me really well. This product is good...for a year. There is a reason why the “warranty” only covers for a year. Because after that year ends, it will basically become a door stop at this point. After a year of having it and taking care of it and cleaning it all the time and maintaining it, a “main brush error” comes up. This causes the Deebot to no longer move and beep until you just shut it off completely. Mind you, I really only had this thing be used 3 times a week. So, I figured “hey I’ll clean it off.” Nothing, and the brush doesn’t move, causing the error. So, like anyone, you think “I’ll just buy a new brush, then BOOM, it’ll be back to normal.” So, I buy one, install it, and of course, same error occurs. So, I call the customer service of ECOVACS, and I get “yeah we won’t be able to help because it’s past the warranty and there is no service center near where you live.” Mind you, the warranty is only 2 months past. So, they know what they are doing.So, in conclusion, if you want a good cleaning product for a year, then hey, this isn’t a bad option. HOWEVER, if you are like me, someone who figured if I just take care of it and make sure I clean it often and it’ll last for years, then STAY AWAY FROM THIS PRODUCT. Hey, last I’ll say is you get what you pay for."",""Reviewed in the United States on December 9, 2019""";;;;;;;;;
"1174,""I have not even switched on the the darn thing but because the starter guide asks me to install the Ecovacs mobile app, i was unpleasantly suprised to learn that the app/ product is unavailable in my country in the middle east. Also, the N79S is not dual voltage. Ridiculous."",""Reviewed in the United States on December 9, 2019""";;;;;;;;;
"1175,""Worked great for a couple of months then I called and had a replacement because the bot stopped running. Deebot replaced my robot. Now my second one started making a very loud noise after less than a month (after cleaning and even running it without the brush). I asked them for a different model or my money back, they said no, and they will just keep sending me replacements. I asked how long they provide a warranty for replacements and they said """"we will only honor the 1 year warranty on original purchase"""". So they don't put any support behind their brand new replacements and they are fine with sending products that keep failing.To answer some quick questions I keep getting asked. Yes I empty the bin after every running. I clean off the roller after every running as well."",""Reviewed in the United States on December 9, 2019""";;;;;;;;;
"1176,""Works beyond my expectation love it love it love it easy operation great price"",""Reviewed in the United States on December 9, 2019""";;;;;;;;;
"1177,""This operates just dandy, however my long hairs get caught up in the spinning brushes. So get it if no one if your household has long hair."",""Reviewed in the United States on December 9, 2019""";;;;;;;;;
"1178,""Broke after 1 month of use"",""Reviewed in the United States on December 8, 2019""";;;;;;;;;
"1179,""I purchased this vacuum robot on Nov 2018, and use it once everyday, but now on Dec 2019, it will show error and red signal for no reason every 2 mins."",""Reviewed in the United States on December 8, 2019""";;;;;;;;;
"1180,""We are on our second replacement and it has suffered a sensor failure, just like the first one. It is outside of of the return window. Not impressed with the quality."",""Reviewed in the United States on December 8, 2019""";;;;;;;;;
"1181,""Product got damege after 3 month. Stop and do not work. I changed the brush, filter and roller and still not working. Do not recomend this product"",""Reviewed in the United States on December 8, 2019""";;;;;;;;;
"1182,""Love this cleaning robot, we have about 1500 Sq ft it cleans well. Unbelievable the daily amount of dirt that comes off the hardwood and tile floors. It also runs over flat rugs well but definitely not rugs with long fibers.  Runs a good 90 minutes on one charge. Would purchase this again."",""Reviewed in the United States on December 8, 2019""";;;;;;;;;
"1183,""First off on Cyber Monday Amazon sold out of these so I bought from Best Buy.. But I wanted to write a review here also because this is such a great product.... I vacuumed before I used it.. Within a half an hour it had a full dust bin...I love this thing. I have two dogs, two cats. Picks up """"things"""" the dogs drag in like grass, weed bits, seeds and stickers. Picks up cat little sprinkles so and have I mentioned hair... Dog hair, cat hair and DESTROYS dust bunnies.  Yippee.  This is why I wanted it.... Quality, quite great suction... It will take a learning curve do discover its quirks in my home and how to best program it for my needs. But gee the convenience of all the little things gone daily is worth every bit of the Cyber Monday Price of $149.00 This and the Efey brand came in top rated......"",""Reviewed in the United States on December 8, 2019""";;;;;;;;;
"1184,""Do NOT buy this vacuum! We have had  it 1 1/2 years and it has totally crapped out on us. It worked nice, but shouldn't it be usable for more than 1 1/2 years? Don't buy it. If I had the chance again, I'd go with one where you can find reviews from people who have used it for more than 2-3 years. We have no pets in the home. We have our house cleaned by professional cleaners once a month. This little guy was used to keep things clean between the monthly clean up. We have two area rugs and the rest is linoleum. I am EXTREMELY disappointed about the quality and workmanship of this vacuum. You get what you pay for I guess."",""Reviewed in the United States on December 8, 2019""";;;;;;;;;
"1185,""Lo compre porque decía que podía conectarse a Alexa pero NO ES ASÍ"",""Reviewed in the United States on December 8, 2019""";;;;;;;;;
"1186,""I’ve had this for a little while now, and here’s what I have to add.This thing does the job. For the money, absolutely worth it. That being said I’ve got a couple issues.1) This robot is MAD DUMB. Its object detection is lackluster and the pattern in which it cleans is totally random. One day it might clean the whole floor, the next it might decide to spend 90% of its time stuck under a chair.2) It will not transition from a hard floor to a rug. It even has trouble getting onto my 1/4 thin bathroom rug, and often gets stuck doing so.3) Getting replacement parts for this brand is a royal pain. I prefer sometimes to go buy things in a brick & mortar store (I know, shocking), and Ecovacs sells their stuff pretty much exclusively online. It would be nice to be able to get parts a little faster/more reliably.That’s pretty much all I have to say for now. I still recommend the product regardless of the commentary above. It does its job for the price I paid."",""Reviewed in the United States on December 8, 2019""";;;;;;;;;
"1187,""In love with this product! Life saver! Time saver! Picks up all my dog hair! Best for hard floors. Not the best on carpet. Recommend for hard floors. Easy to use."",""Reviewed in the United States on December 7, 2019""";;;;;;;;;
"1188,""Great product! Busy little robot picking up our little dogs hair from under the couch, under the beds under table and chairs. And he even knows his way home! Love it, Merry Christmas to us!"",""Reviewed in the United States on December 7, 2019""";;;;;;;;;
"1189,""I would really like to return or exchange it for an upgrade. I can't believe that in less than month I am already having problems with the remote and theDeebot."",""Reviewed in the United States on December 7, 2019""";;;;;;;;;
"1190,""The vacuum dose a great job much better than i expected but i cannot connect it to the wifi. I tried every possible way i am giving the last shot to try to talk to tech support but if it wont work i will return it. Other than that it cleans very well."",""Reviewed in the United States on December 7, 2019""";;;;;;;;;
"1191,""I got this for pet hair since I have a Persian cat. It does a great job of picking up the fur, the picture is about 5 minutes after I set it loose in my carpeted living room. The cats hair does not get stuck in the brush, however my (very long) hair does. It’s very easy to take the brush out and pull off the hair, though. I love that the vacuum is silent but also very powerful, it picked up a bunch of nails embedded in my carpet from when they installed the carpet. It connects to my phone and I can control it from there, it also finds its charger when it’s dying. So relieved to not have to worry about vacuuming every day."",""Reviewed in the United States on December 7, 2019""";;;;;;;;;
"1192,""Honestly, this is one of my favorite investments. We have 2 dogs that shed a lot, & my mom is always saying to sweep-sweep-sweep the house as if it were my part-time job.Bought this and let it run for 2 hours during the day. 1 hour in the morning & 1 hour at night. It gets the job DONE! It took the dogs 30 minutes to get used to it, but they just avoid it now so no worries!PROS:Goes back to the base no problem.It tells me when it needs to be emptied.It can be connected to your phone via wifi.Battery life: nothing to complain aboutCONS:Not much except for one complaint! The normal suction power seems to be “lazy.” So I have it at max whenever I use it, even if it’s to just clean tiles. Most likely this is a subjective issue. It doesn’t bother me though!"",""Reviewed in the United States on December 7, 2019""";;;;;;;;;
"1193,""I bought 5 of these a year ago. 1 for my grown children and 1 for me. My 4 kids report really liking theirs still and I liked mine a lot too for the first 3-4 months, but it started beeping (2 beeps) and then it simply shuts off about 30 seconds after it starts. It’s not a battery problem though. I know what it sounded like when the battery was low. It’s not that. And it’s fully charged. It just beeps and stops abruptly. Nothing in the troubleshooting addresses this problem. It’s too expensive to have this kind of problem without having a simple solution."",""Reviewed in the United States on December 6, 2019""";;;;;;;;;
"1194,""Dejo de funcionar y aún no tiene un año de uso"",""Reviewed in the United States on December 6, 2019""";;;;;;;;;
"1195,""Don't buy this vac it sucks in the bad way. The first one stopped holding a charge one week before the manufacturer warranty expired. The replacement lasted just over 3 months before one of the rotors stopped working and making an extremely loud clicking sound. It was fine while it worked but constantly found it's way under furniture and got stuck. After the second one quit working they said the replacement didn't have a warranty, nice customer service. I won't be purchasing from ecovac again."",""Reviewed in the United States on December 6, 2019""";;;;;;;;;
"1196,""Initially I love the idea of this vacuum. While it doesn’t replace a deep cleaning that need (weekly) from the regular vacuum, it’s it was great for daily maintenance. I used it because I had because I have multi levels in my home and am physically unable to carry the heavy vacuum up and down the stairs every day. When the unit was working, it did take quite awhile time to run its course (1500 ft area), and frankly, could drive a person crazy unless you walk away and forget the crazy patterns it cleans in.  The charge usually lasted a good amount of time and did pick up quite an impressive amount of small debris for not being a conventional vacuum. (Better than the small stick units.) However, and this is the major complaint- even with routine maintenance, it lasted an unacceptable amount of time before the Deebot stopped working altogether. First sign of malfunction was it just cleaning in circles. Of course, trying to troubleshoot, checking that it wasn’t in “spot cleaning” mode, taking the bumper from and checking for stray debris, following every direction several times over to no avail,  RENDERING THIS UNIT USELESS. The response from the barely existent customer service was to “hold onto the unit,” and “maybe in the future they will have a repair dept.” !! What a horrible way to conduct business! You would think they would stand behind their product as any reputable company would. What a waste of money for what seemed to be a great concept. I will be purchasing similar unit, just not a Deebot from Eccovacs."",""Reviewed in the United States on December 6, 2019""";;;;;;;;;
"1197,""Purchased 2 of these 14 months ago.The robot started to beep without stopping, after contacting the customer support it seems that the battery died.Since the warranty is for 12 months, they sent me to purchase a new battery.So basically I purchased a $230 product, that within a tidy bit over a year became a brick. Extremely poor customer support sent me looking for a better product, hopefully one that will last for more than a year.Regarding the performance of the product - the suction is 2/5, the coverage is 3/5, returning to base is 1/5 (I always need to do it manually), and the longevity is 0/5. Don't be tempted by the price, it's just to pull you in before they throw you under the bus a year later."",""Reviewed in the United States on December 6, 2019""";;;;;;;;;
"1198,""This product is fantastic dose great cleaning"",""Reviewed in the United States on December 6, 2019""";;;;;;;;;
"1199,""UPDATED REVIEW. I really liked this robot to start with. But you get what you pay for and it doesn't last! Our stopped working right after the year mark, we have 2 big dogs and it didn't pick up the hair and make life easier but it's dead..... Spend more money up front for a better trusted brand..."",""Reviewed in the United States on December 6, 2019""";;;;;;;;;
"1200,""Please go with another brand! Two in a row and both have had the same issues - Just randomly stops working and has to be reset. No jams, no bad parts, just stops multiple times while cleaning for no apparent reasons. Followed all the troubleshooting steps with no luck. They did replace it but the customer service experience was terrible. One email and I worked with 5 different support people. And apparently they don't read as I was asked the same questions multiple times. Got the second unit and it did the same things after just 4 months. This is very much a get what you paid for product and I would never recommend it."",""Reviewed in the United States on December 6, 2019""";;;;;;;;;
"1201,""First bot vacuum I have tried and I love it! So easy to turn it on from my phone at work and the carpet looks great when I get home! Got it on a deal for $150. Liked it so much, bought another as a Christmas gift!"",""Reviewed in the United States on December 6, 2019""";;;;;;;;;
"1202,""Thoroughly impressed with this vacuum. It’s amazing! I got it on sale and still can’t believe the price I paid. It’s just as good if not better than my sisters iRobot Roomba!"",""Reviewed in the United States on December 6, 2019""";;;;;;;;;
"1203,""This thing really works well, I'm a bit surprised at how well it works. It's a bit loud and the programming options are limited, but overall it works really well."",""Reviewed in the United States on December 6, 2019""";;;;;;;;;
"1204,""We love our DEEBOT.  Def worth the money. Every morning at 0900 it runs around our downstairs. It amazes me what this lil guy picks up. No regrets here!"",""Reviewed in the United States on December 6, 2019""";;;;;;;;;
"1205,""It picks alot and does return to the charging station when I prompt it to. The app does work although it may not detect the robot sometimes. The robot can be controlled either by app or by the remote provided."",""Reviewed in the United States on December 6, 2019""";;;;;;;;;
"1206,""Really loved it the first seven months but now just keeps stopping and beeping every couple of minutes. Filter, rollers, everything cleaned out and still just stops in the middle of the floor. So bummed!"",""Reviewed in the United States on December 5, 2019""";;;;;;;;;
"1207,""Frankly, while this cleans VERY well, it also gets stuck in a variety of situations EQUALLY as well, which is quite frustrating! I frequently have to fetch it from under a couch or in some exercise equipment or ANYWHERE. It vacuums well but is dumb as hell."",""Reviewed in the United States on December 5, 2019""";;;;;;;;;
"1208,""It started off ok but within a year it doesnt pick up very good and it will just keep every 5 minutes which is very frustrating and we have to turn it off. Tried cleaning it but still doesnt work."",""Reviewed in the United States on December 5, 2019""";;;;;;;;;
"1209,""Does a decent job cleaning, but if it gets caught on something and fails to complete it's route, it seems to forget it's cleaning schedule. Have to reset it. Pretty annoying. But decent value pick despite this isssue"",""Reviewed in the United States on December 5, 2019""";;;;;;;;;
"1210,""I purchased this machine in July 2018 and was initially impressed with it because it saved me the headache of vacuuming and also kept the house cleaner than I could since I could have it vacuum daily whereas I may only vacuum weekly. Additionally, this machine picked up so much dirt daily that I did not even realize was there. Unfortunately, that is the extent of the benefits of this device.The machine works like a chicken with its head cut off and does not follow a pattern which often leads to it missing areas of a room. The app is subpar and often randomly resets the schedule cleaning times. The remote randomly lost its connection to the machine. The machine only supports 2.4ghz and not 5ghz so if you have google wifi where it automatically decides the band, you will struggle to connect the deebot to your devices. The machine allegedly supports google home and amazon alexa"; however, I have been unable to make it work with either of those assistants.Regardless of all those flaws, I was happy with the machine because it made my life easier--after all, thats what machines are for. And then I got the dreaded 4 beep error. The machine beeps nonstop in sets of 4. Initially, I thought this was because the main brush had hair in it. I took apart the main brush and cleaned up a TON of hair; however, this did not solve the beeping issue. After more research, I found out that the battery has reached the end of its life. After less than 18 months, the battery on this device crapped out and rendered the device inoperable. I reached out to ecovacs in hopes of getting a replacement battery under warranty;" however, their warranty for the entire device is only 1 year.It is abundantly clear that this is a case of planned obsolescence and that deebot devices have a lifespan of less than 2 years. Although this was a good device, I would recommend buyers find a brand that makes a higher quality product and one that stands behind their product more than ecovacs and deebot does."",""Reviewed in the United States on December 5, 2019""";;;;;;
"1211,""I purchased this product as a gift for my daughter in July 2018.  I read where another customer said it lasted about 15 months and that is about right.  It's a lot of money to pay for such a short life.My daughter really liked it but when she called the company they would do nothing as the year warranty was up.Sounds like built-in obsolesce!  What a shame."",""Reviewed in the United States on December 5, 2019""";;;;;;;;;
"1212,""This was a pretty great vacuum for almost a year and then the spinning brush stopped spinning and it won’t run for more than a minute before it starts beeping. I’ve tried cleaning it out but nothing has worked."",""Reviewed in the United States on December 5, 2019""";;;;;;;;;
"1213,""Great robotic vacuum cleaner at a fair price.  No problems and works great!"",""Reviewed in the United States on December 5, 2019""";;;;;;;;;
"1214,""Its great for running on bare floors and keeping the floors generally clean.  Not made for rugs or carpet with long fibers.  One of my gripes is the sensing system.  Since it doesn't keep going until it runs into something like other robot vacs, it stops too short when heading straight for a wall: it often leaves debris in a corner.  Certainly makes life easier, but doesn't completely eliminate need for full vacuum."",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1215,""When it worked, it worked pretty great. Didn't get stuck a lot, and loved the Alexa integration. With that being said, 1 star for breaking 2.5 weeks after purchase. I really wanted to believe the high rating and amount of reviews, unfortunately I won't be going back to this brand. Lost customer."",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1216,""My wife is very happy with this little guy. Very easy to setup, plug in base, set Deebot on base and let charge for 4 hours. Press the Auto button on the remote or Deebot and off he goes. Ran almost 2 hours first time. The bin was full and we were shocked how well he ran.You are not required to use the phone app or connect the Deebot to your wifi, but the app gives more functions. Like checking filter and brush life. The remote allows setting 1 schedule and only one time per day. The app allows more granular control allowing day selection and time of day. This is one of the top rated vacs for under $200. Try this one before you spend more on a different robot vac. We love it."",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1217,""Sucking is a good thing if your a vacuumNice product for the priceGives Roomba a run for its money"",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1218,""How do I get my money back?I have owned the eco vac for 6 months and it stopped working.I want my money back."",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1219,""This thing does it’s job, but it does it in a slow and non logical way. I’m not sure how it’s programmed but sometimes it senses the wall & avoids it (staying a foot away, so it doesn’t clean the edge) and other times it bangs straight into it. Other times it will climb over a threshold & other times it spins around and leaves. I often see it try to leave a room, hit a corner of the doorway & do a 180 deg turn & spend another 20 minutes in the room. It does not “map out” your space, it just waits until it hits a wall & turns back around on an angle. It’s the roomba’s dumb cousin.  I made a mess it in my room & it did clean it all up. I had to lock it in because it kept trying to leave. It is obsessed with my couch spending 80% of the time in my living room cleaning under the couch. I have a raised couch with slim legs, it’s not stuck underneath it just loves going back to it over &over. Some positives, it’s quieter then the roomba, it eventually cleans the whole space, my dog only slightly hates it. I’ll write an update review in a few weeks."",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1220,""I purchased the N79 unit in 11/17 for $199.00- It was used very infrequently, as it is at my secondary residence- It doesn't hold a charge, & when it does it only goes on circles! I contacted Consumer Service at the company, & was told it is out of warrantee & the best they can do is refer me to the repair dept- Unfortunately, they are not open until later in the month, & it will be at my expense- I'm sure between the shipping & repair it will hardly be worth fixing- As a Prime member, I thought Amazon could help, but they are disinterested. I bought this product because Amazon highly recommended it- Now I have to start over, with no help from amazon or Deebot- Stay away from this product! It's junk!"",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1221,""We have had (Ed as he is named) for 3 days, and I am in love.  This is the handiest creature in the house.  Bought him on Black Friday.  He was not the most expensive model, but it is hard to believe that the higher priced ones could work any better.  He has picked up dog and cat hair in places I didn't know it existed.  There has been no problem with throw rugs, fringe or any other issues I was concerned about.  He had a wonderful time under the bed and picked up an accumulation of dust.  It is embarrassing how much I missed in my cleaning routine.  I have two cats and a litter box in my laundry room.  He picked up all the grains that cats track.  He even picked up whatever was caught in a throw rug and also grains that were trapped in a sponge rubber mat that was beside the litter box.  I had tried shaking to get the grains out to no avail, and Ed took care of the problem. My husband is a skeptical cleaning fanatic, and even he is amazed how good this gadget works."",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1222,""This little machine is a good buy.  I put the cleaning brushes on and plugged up the charger.  It was very easy to operate and I  really love it.  It cleans a lot better than I can with my Dyson vac.  Highly recommend it."",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1223,""It's not the most powerful vacuum ever but it does well for weekly upkeep. I have too dogs and it fills the dust tray quickly but if you take care of it and clean your brushes regularly it'll last a long time."",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1224,""Love it!  Saves me a lot of time and keeps our hardwood floors clean in spite of our dog :-)"",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1225,""This vacuum is terrible from the beginning. The app doesn't work, the suction is barely there, the brushes get tangled in my carpet, rugs, etc. AND the entire vacuum has stopped charging and working after a year of use. Don't bother with this and get a Roomba."",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1226,""I got this from my husband for Mother's day and I didn't actually pull it out until December believe it or not. Wish I pulled it out sooner to return it. Waste of money. It struggled to put itself on the charging station. Kept getting stuck everywhere and going over the same spots. It doesn't go over everything and I ended up vacuuming the whole rooms anyways due to it not performing well. This is more for people who only have wooden floors everywhere.  Didn't handle our short carpet well at all. App is useless."",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1227,""Will not return to dock. Even tried changing where I keep it.The cleaning is so haphazard. It will clean one area repeatedly and never get to others. The directions say nothing about mapping the house so it just spot cleans here and there.  I even had it on Auto like the directions say. I will be returning this and getting a Roomba or Shark."",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1228,""Loved everything about it, until is stopped working on a dime at 9 months. Currently trying to work with Ecovacs on a solution. Will updated when possible."",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1229,""Gets stuck on any carpet or rugGreat for wooden floors"",""Reviewed in the United States on December 4, 2019""";;;;;;;;;
"1230,""It works pretty good. It cat replace a good vacuum"",""Reviewed in the United States on December 3, 2019""";;;;;;;;;
"1231,""Constantly gets stuck under furniture and appliances and rugs. Runs out of battery and just stops in the middle of the room beeping... sometimes in the middle of the night. Don’t buy this... get a better one"",""Reviewed in the United States on December 3, 2019""";;;;;;;;;
"1232,""Revised review. Bought this in November and now it will just sit and spin in an open area like it is stuck in a corner and will not run more than five minutes at a time. Absolute waste of money. I would like a replacement or full refund under their warranty. This is terrible."",""Reviewed in the United States on December 3, 2019""";;;;;;;;;
"1233,""This guy is amazing, this picture is from the first job.  It doesn’t go line by line but that’s ok because it absolutely covers every edge it can get to!!"",""Reviewed in the United States on December 3, 2019""";;;;;;;;;
"1234,""I have long hair and a cat and so far no problems.  Frees me up to do other things.  Love it!"",""Reviewed in the United States on December 3, 2019""";;;;;;;;;
"1235,""I had to return because all the thing did was go backwards in circles. I will say that it did clean the circle very well ";") probably a good product when functional."",""Reviewed in the United States on December 3, 2019""";;;;;;;;
"1236,"" I have had one of these for years, no rug can stop this beast! I just bought one for my daughter for Christmas. My friend gave away her iRobot and bought one of these as well. Love it"",""Reviewed in the United States on December 3, 2019""";;;;;;;;;
"1237,""Great little robot vacuum. This was my first time purchasing a robot vacuum and so far, I am impressed with this one for the price. It does a good job cleaning in between vacuuming. It doesn't create a pattern or know when a room is finished so if you're going to be particular about that, you'll have to watch it and direct it. I have a large open concept layout and it eventually gets most of the space. If it is cleaning one enclosed room, it does better at figuring out the boundaries. It does good with avoiding obstacles and I haven't had many issues with it getting stuck."",""Reviewed in the United States on December 3, 2019""";;;;;;;;;
"1238,""Love it"",""Reviewed in the United States on December 3, 2019""";;;;;;;;;
