",""X1"",""X2""";;
"184,"" This works great until it breaks. One of the brushes quit spinning on the first one. Now on the second one, both brushes still spin, but one of them has a stripped gear so it spins very noisily (see video) and stops spinning when in encounters resistance like a rug or carpet. We bought the original in November 2018. Overall it cleans well but we strongly feel like it should last longer."",""Reviewed in the United States on July 1, 2020""";;
"185,""You get what you pay for. It isn't very smart with floorplan and constantly bumps into walls, furniture, basically everything."",""Reviewed in the United States on June 29, 2020""";;
"186,""Once we put it on the charger it makes annoying beeping sounds. Drives us nuts. We clean it, restart it, nothing will stop the beeping!"",""Reviewed in the United States on June 29, 2020""";;
"187,""I just contacted their customer service department after my Debot stopped working. For beeps and a solid red light. I probably  used this machine about 40 time and maintained it very well by cleaning out the brushes and the filters. After talking with their customer service representative she told me  the brush roller motor stopped working and this vacuum is dead. I have a very good upright vacuum so I I probably used this machine about 40 times and maintained it very well by cleaning out the brushes and the filters. The brush roller motor stopped working and this vacuum is dead. There’s nothing this company will do for me.  I was told I am outside of warranty and all they would offer me as a 10% discount on another crappy vacuum. Buyer beware! DO NOT BIY FROM THIS COMPANY."",""Reviewed in the United States on June 29, 2020""";;
"188,""I got this as a gift. It is an amazing vacuum. I ran it for the first time and I was so surprised at the amount of stuff it picked up. We had already vacuumed that day so I didn't expect it to get much. Boy was I wrong. My downstairs area is mostly all open with my living room, dining room and kitchen. It had no trouble getting over my two rugs and even the lip getting into my kitchen. It even knew that it was near stairs and went right at the edge but did not fall off the ledge. The battery life is great for the amount of space I have. I could not be happier with this vacuum."",""Reviewed in the United States on June 29, 2020""";;
"189,""I have had this robot for almost two years now, it has performed flawlessly. I have a Roomba that cleans the main house l have had for four years with the heavy duty battery that only lasted (battery) short of two years that l replaced.The Debot is still on the original & running strong it was a quarter of the price of the Roomba & was purchased for hard floors in the bedroom bathroom and closet.My wife and I often remark on how gentle it is compared to the other one that smashes into the furniture & pushes the side tables around, it  also has the choice of high or low speed vacuum suction.Another plus is the easy cleaning & heppa filter, all the spares as brushes & filters are cheaply available on AmazonWhen the Roomba dies it’s getting replaced by a Debot"",""Reviewed in the United States on June 28, 2020""";;
"190,"" I initially had issues with this robo because my internet was not 2.5g, while it will still work without it, you can’t select max suction on the app unless you can connect it to WiFi 2.5g.  I ended up upgrading my internet (needed to anyway for work and gaming) and it’s been perfect.  I live at the beach and have lots of sand which this guy picks right up.  I have him on schedule so every morning at 10 a.m. “Deebo” gets to work.  I empty the casing every few times but if you have a lot of pet hair I recommend after each use.  Also does a great job getting up over area rugs and thresholds.  Pick up cords, he kinda likes those!  Overall, this guy has made my life easier!  While I do dishes he grabs the floors.  #winningAlso customer service was great!"",""Reviewed in the United States on June 28, 2020""";;
"191,""We sweep everyday due to ours German Shepherd,  but this vacuum picked up things in my house that I never even knew existed. He's still going strong after a year with no problems."",""Reviewed in the United States on June 28, 2020""";;
"192,""I didn’t have much hope for this because it was so cheap but Debrah is our new favorite. She cleans under my couch! I have 3 small children. That is not an easy task. She has been going strong for 8 months now with being run daily and she’s doing good. Easy to clean, easy to run, doesn’t clog. I’ll be buying another one when this one dies."",""Reviewed in the United States on June 28, 2020""";;
"193,""Lasted less than a year. I kept it pretty clean and replaced brushes etc. Went to fix it, opened it to check for clogs or jams. It was very dirty on the inside even though I kept it pretty clean. Cleaned it out. Still provides no suction even though there are no clogs. Tried other things to troubleshoot it and I had to give up and accept that it wasn’t worth the money. If you buy this, or one like it, I’d recommend the extended warranty."",""Reviewed in the United States on June 27, 2020""";;
"194,""Bought for my wife as a mother day gift... She dropped hints... I listenedShe enjoys it, does the job... Definitely worth the price if you don't want a high dollar one"",""Reviewed in the United States on June 27, 2020""";;
"195,""This thing is terrible. Constantly jammed until a main brush error put it over the edge. Doesn’t work for more than 30 seconds until it malfunctions. I’ve taken the entire thing apart and cleaned it. I HATE this vacuum!"",""Reviewed in the United States on June 27, 2020""";;
"196,""Don’t buy this product. It can only pick up dust and dirt. The vacuum will not self return to home when done even when I press home button.  It stopped working now. The vacuum is dead after 5 months of use. Waste of money."",""Reviewed in the United States on June 27, 2020""";;
"197,""Update - two years inI would definitely give the Deebot five stars if reliable. Unfortunately, after two years it became erratic and began to intermittently malfunction. Deebot tech support was awful. They simply advise that you send the unit to Ifixrobot. Other than routine wear items like batteries and brushes, absolutely no repair parts are available for purchase. I needed a specific repair part that looked like it should cost $10 max, but was advised that this part was not sold. We have owned Roombas in the past and there is huge availability of repair parts. On Deebot, parts availability is zilch and tech support is zero as well. If you consider this as a two-year disposable item, it's fine. As a longer-term vacuum solution, look elsewhere.Original review: We spend six weeks each year at a campground at the beach. Try as you might, it's impossible not to track in a bit of sand as you re-enter the camper from the beach. We found the Deebot N79S to be the perfect solution. We'll run the Deebot several times each day and it does an amazing job of removing sand from every nook and cranny of the camper. We always start the Deebot as we head to the beach and upon return, it has cleaned the camper floor, successfully re-docked/recharged and is ready to go again. It has great suction and has been 100% reliable."",""Reviewed in the United States on June 26, 2020""";;
"198,""Our Ecovac died before it even reached 1 life cycle on the air filter. We ran the vaccuum less than 20 times total and it has since stopped charging and will not run. Ecovac customer service departments only answer was sorry it is beyond 1 year old. Read reviews on Amazon or Google about the robot beeping 4 times and the auto-button turning red. Chronic issues that they have no answer or fix for."",""Reviewed in the United States on June 25, 2020""";;
"199,""My husband brought this unit for me in December 2018. It's still runs great ! I'm loving my bee bop opps I mean Deebot.  The maintenance packages are inexpensive and includes any updates for their unit. Great service,  great unit."",""Reviewed in the United States on June 25, 2020""";;
"200,""Keeps beeping every time we try and plug it in to charge, constant error codes, gets stuck on rugs, does not clean up hair (gets stuck in the brushes and stops it), not worth the price tag for the time we have had it and the amount of problems it has had!!!"",""Reviewed in the United States on June 25, 2020""";;
"201,""I was so impressive by reading the feed back of rebotic machine, but once its coming in use , it will not clean properly. On carpets its moving and being stuck again and again. So its not recommended."",""Reviewed in the United States on June 24, 2020""";;
"202,""Be aware - it works so good that it totally vacuumed up my wedding ring (which fell off my nightstand at night and I forgot to pick it up) and unfortunately my kids emptied the canister as part of their chores on garbage day. I cry about it every night because I know my ring is gone for ever.  But it works THAT good."",""Reviewed in the United States on June 23, 2020""";;
"203,""Good product for the price. Only problem is with the APP because the type robot not found. But is very easy to clean, I use the auto button and clean everything,  it has the option to clean the borders and its very easy to program. I am very satisfied with the robot."",""Reviewed in the United States on June 23, 2020""";;
"204,""Quit charging after one year"",""Reviewed in the United States on June 23, 2020""";;
"205,""Don't waste your money."",""Reviewed in the United States on June 23, 2020""";;
"206,"" This has been a great vacuum for a little over a year, but now the brush constantly rotates, even while on the charging station.  I have not been able to find a way to troubleshoot this particular problem, and service is not available. It does not seem that there is an option to return. I would have hoped this product would last more than 15 months."",""Reviewed in the United States on June 23, 2020""";;
"207,""Works good when it works, it's a cheap product that will brake on you after 3 months and you'll keep having to call them and have them tell you what's wrong with it until it finally fully stops working. Then on their warranty they will offer you one that's 60 dollars cheaper or a refurbished one and that's after they lie to you and you calling a million times waiting for them to """"call you back"""" save your money on this and go with a different company"",""Reviewed in the United States on June 22, 2020""";;
"208,""The vacuum is ok. Suction power isn’t the greatest but it cleans up. The battery power lessens quickly over time. First use it cleaned for almost 30mins but now after a month of use it cleans for 5-10mins then dies and needs recharging. Not the best robot vacuum out there but it’s sufficient. Price should be lower compared to the quality but I like there is an app I can control the vacuum."",""Reviewed in the United States on June 22, 2020""";;
"209,""unit came in defective started a retun been in Amazon's hands for 10 days sti no credit. Amazon is loosing its edge on clients service and quality. Sad been a prime member for ever and can believe the cross the board price increases and reduced service levels. Be careful Amazon same ppl that made you the biggest can make you the smallest. Writing is on the wall...."",""Reviewed in the United States on June 22, 2020""";;
"210,""Works good."",""Reviewed in the United States on June 21, 2020""";;
"211,""Great deal definitely cleans good. Can't do rugs or carpets. Keep that in mind. But works great hardwood and other floors."",""Reviewed in the United States on June 21, 2020""";;
"212,""Worked decently for a year. Then for some unknown reason, the wheels stopped moving. Seems like a sensor issue, but either way, it doesn’t work."",""Reviewed in the United States on June 21, 2020""";;
"213,""I loved this robot vacuum up until it stopped working and now only goes backward in circles. I have done all the troubleshooting on the Ecovac website and am now waiting for a callback from customer service. Once I hear from them I will update this review.I never did hear from Ecovac but did find the solution online. Deebot is fixed and working great again."",""Reviewed in the United States on June 21, 2020""";;
"214,""Battery life very poor, memory capability to learn your homes rooms if very poor. Not worth the money."",""Reviewed in the United States on June 21, 2020""";;
"215,""Was recommended this vacuum from some friends and glad we got it.  Been wanting one for awhile, but didn't want to spend a ton.  This one has done a great job so far for far less than we'd planned on spending."",""Reviewed in the United States on June 19, 2020""";;
"216,""I bought in 2017 even with maintaining the vacuum, it does NOT CHARGE. It is now just collecting dust in my garage because it no longer charges."",""Reviewed in the United States on June 19, 2020""";;
"217,""Received a used, filthy vacuum. Super bummed. They are sending a replacement, but please check over yours when you receive it. Can’t speak to function or quality. Just very disappointed in the condition of my “new” $190 vacuum. QC, step it up. Not acceptable."",""Reviewed in the United States on June 19, 2020""";;
"218,""My husband isn't happy about many Amazon purchases I make, but he sure LOVES this one. It just lives in our bedroom and runs 3x a week. I swear, this thing is fantastic. We have three Labradors but one who spends most of his time in our bedroom. It really gets up ALL the hair. Doesn't trip up on our many rugs (only one it doesn't like is sheepskin so I moved it...) goes well over real cowhide and even the fluffy bathroom rugs so popular now. Gets underneath a whole lot, and if I leave a cord out it trips up on... well, that's my fault. I've done it plenty of times and I can't believe she is still even working, but it's been a year and a half now and she's still going strong. The two little brushes are starting to get curly and bent but I love that for a few bucks, I can come on Amazon and order replacement parts. Need to do that soon. Blows the Roomba out of the WATER for the money! Truly!"",""Reviewed in the United States on June 19, 2020""";;
"219,""This vacuum is great with dog hair (we have 2 dogs) and fits under beds and tables easily. Would recommend this to just about everyone."",""Reviewed in the United States on June 18, 2020""";;
"220,""The robot is not as smart as many people think. It keeps getting stuck to almost everything. I have to “divide” the floor into small sections and clear out all the “obstacles”. I also need to keep an eye on the robot all the time because it will randomly get stuck to things that I have never thought of."",""Reviewed in the United States on June 18, 2020""";;
"221,""I can't stop saying enough good things about this vacuum. I have had this vacuum for 2 years and it has endured the torment of my 3 year old and still gets up to get the job done. I own a Dyson and a kirby and even after vacuuming this little guy would find things in the carpet that neither vacuum got. With hardwood its impossible to keep it clean, well not anymore. Some people complain that it gets lost more often with age, which is true, but if you run him until his battery is low he will clean the house, even if he does go in circles at times."",""Reviewed in the United States on June 17, 2020""";;
"222,""Before I delve into the real reason for my 1 star rating (the product didn't last), I wanted to mention that one of the reasons I chose this model was that it was advertised to work with Amazon Alexa.  We never could get it working with her, and, as I recall, it had something to do with the type or speed of WiFi we have (some numbers I don't recall), so if that's a feature you're looking for on any type of robot vacuum, I suggest you carefully look into making sure it will be compatible with your specific type of WiFi.  We don't have any special kind of WiFi or Internet - just one of the standard choices from Comcast - so I was surprised.Now, for why I cannot recommend this specific robot vacuum: I understand it may seem strange to give 5 stars for all of the individual categories, but a 1 star overall.  The reason is that when it worked, it was great, but it only worked for about 14 months.  Then, inexplicably, it just stopped, and it was just 2 months after our 1-year warranty period had ended.  It would wander briefly away from the base, beep at us, flash red, and then we'd have to carry it back to the base even though it was fully charged.  As a family of 5, with 3 kids under the age of 7 when we purchased the robot vacuum, I really thought a machine like this would simplify my life, but didn't have the budget for the more reputable brand.  I throughly researched these items through customer reviews and consumer advocate magazines/websites, which lead me to choose this particular brand/item, so I was very disappointed when it proved to be unreliable.I did contact customer service to see if they would make an exception on the warranty, since it was so close to its expiration.  While they were great at sending us timely troubleshooting tips to see if we could figure out the problem, it ended up being something that would cost almost as much to repair as to purchase a whole new one and they would not cover it because the warranty period was over.  For an item at this price point, I wouldn't expect it to last forever, but definitely a few years.  It's also important to note that we were very careful that our children weren't rough with it - we did NOT put the baby on it for rides like you see in many funny home videos.Something more to consider: After it died, I thought I would really miss being able to push a button and relax as my floors were vacuumed, but I ended up with a popular brand of cordless, folding stick vacuum for the same price, which I now prefer.  I don't miss tripping over the vacuum and base on the floor (there are specific requirements for where you can put the base so your vacuum doesn't get """"lost""""/unable to find its way home, so it's not like you can just tuck it away in a corner).  My biggest messes would be around and under the dining table because my kids are very messy eaters (we must say """"hold over"""" 20 times per meal and there's still half their meal on their chair and floor and all over the table), and this type of vacuum was not great for that area because of all the chairs and table legs interfering with its path.  The stick vacuum I got also easily disassembles into a hand vac, so I can get under the table and chairs easily with the full stick vacuum and then detach the hand vac to quickly clean off the chairs themselves (and sometimes I even vacuum the table before wiping it down).Another issue that might vary among brands and models is that after we lost power once in a storm, we discovered that when the power came back on, the robot would start itself back up and immediately start vacuuming.  We discovered this one night when we were being awakened by a beeping sound in the middle of the night because we have very high marble transitions that it sometimes got stuck on - thankfully that was the only issue created by the self-starting.  But, if you're like me and your floors aren't always """"picked up"""" and free from miscellaneous children's toys or clothing (a sock here, a forgotten Barbie there), this could've been an even bigger problem when it turned itself on.  We don't currently have a pet, but we've also seen horror stories of pets that have had an accident on the floor & then the vacuum has spread (or flung) it all over the house - this could very well happen if the power flickered off and on in the night or while no one was home.  We learned we had to unplug it whenever we went away for the weekend or at night whenever there were storms in the forecast, which was kind of a pain.So, before you jump into the robot vacuum cleaner game, really think about what would truly work best for you and your family and whether a robot vacuum really is as convenient as it seems in the long run."",""Reviewed in the United States on June 17, 2020""";;
"223,""My Deebot lasted about 21 months before failing, so it's outside of warranty, but it didn't get enough sessions for me to consider it a decent deal.  Probably used it 30 times.  Still would've at least considered Deebot/Ecovacs again, but they didn't even respond to 3 seperate emails to customer service.  That's a deal killer for me.  Moving on."",""Reviewed in the United States on June 17, 2020""";;
"224,""So after a year of use, this vacuum now beeps nonstop. I have tried everything. The app never worked. The controller never worked. Now we have to manually turn it off after its charged or it will beep nonstop.  Still cleans but it's a hassle to continuously turn on and off"",""Reviewed in the United States on June 16, 2020""";;
"225,""We have had this for 1 1/2 years now and it works great! No issues with falling down steps like some people mentioned. Does a great job - just as good as my old roomba did."",""Reviewed in the United States on June 16, 2020""";;
"226,""I love this vacuum. It picks up all the dirt. It follows a similar pattern every time it runs. I had another robot vac and I returned it because of tech issues and got this one instead. No problems other than the WiFi issue. Look below!I gave it 4 stars because I couldn’t connect to the Bluetooth because I have certain kind of WiFi. If you want to use your phone, check that out before you buy. It’s not a huge deal for me because I have it programmed.Great buy just check your WiFi!"",""Reviewed in the United States on June 16, 2020""";;
"227,""Deebot quickly became my new BFF two yrs ago. I used it to do one room at a time, maybe once or twice a week in the beginning and then less as the novelty wore off.  After 1.5 yrs, it still works except for a major problem! The motor that makes the main brush revolve died. Now it basically just sweeps the dirt onto the brush, it doesn't go into the dust cup. Our of warranty. You Tubers explained out to open the body and get the motor out to check the spindle for fibers that could cause it not to spin. I did that. But the motor must be burned out and I get a 4 beep error message and machine stops dead after a minute of use. I'd be ok with this problem if I could FIND a replacement motor. But there are none available except used on eBay for $50!  For this reason, I would steer clear of these vacuums unless parts can be purchased. My research shows there are MANY other buyers complaining of the same problem."",""Reviewed in the United States on June 16, 2020""";;
"228,""At first I thought this was the best thing ever! It was quiet, it has a timer so you can set it to go off at certain time of the day, it cleans great, it senses walls, and doors so it doesn't get stuck or run into things. Then after about 6 months, maybe less, it starts getting louder when it runs, I can't get the time to change for it to go off, it runs full speed into walls, doors, etc, and it gets hung up on things that has a small ledge because it just tries to run right over them. So you get 6 good months out of it, then it turns to crap. And it also misses huge sections in the floor. Just keep scrolling. Find another one."",""Reviewed in the United States on June 15, 2020""";;
"229,""Worked great on hard floors (not carpet) and within a year it just completely stopped.  Ecovaccs has no support whatsoever so you cannot reclaim the warranty, get yours fixed, or have any help in identifying the problem."",""Reviewed in the United States on June 15, 2020""";;
"230,""Works great!"",""Reviewed in the United States on June 14, 2020""";;
"231,""We’ve had this vacuum for about two years and it’s still working. Note, we had an issue with the battery after maybe a year and a half, but it was easy to replace and only cost about $20.Pros:- we vacuum twice a week and the dustbin is pretty full every time, so it definitely works.- we have one cat and it does a good job cleaning the hair from hardwood. We don’t let kitty go into the bedroom, which has carpet, so not sure how Deebot would fare there.- pretty quiet, though I wouldn’t watch TV with it on.- hasn’t had any major issue.- the “edge” setting works well for cleaning up debris that collects where the wall meets the floor, especially in the kitchen.Cons:- tends to get stuck where the floor isn’t smooth. For example, I’ve realized it has a hard time going over the divider between the living room and kitchen so it tends to vacuum the kitchen less. This means we sometimes have to manually place it in the kitchen to give it a good clean.- the replacement side brushes we’ve purchased have all been of pretty low quality (sheds, gets tangled, etc.)."",""Reviewed in the United States on June 14, 2020""";;
"232,""Love the product and I did buy for ma sons but I’m not happy with the longevity of the battery, I’m not using it in excess, but after less than a half is hour going to change.I believe that is not right!Can you help me on this matter?Thank you!"",""Reviewed in the United States on June 13, 2020""";;
"233,""It does not sense dropped rooms at all you need to put up barriers when you have a step down room.Cleaning aspects are great"",""Reviewed in the United States on June 12, 2020""";;
"234,""Was awesome till it wasn't. Loved it for a year and right after warranty ended it crapped out. Kept giving main brush error. Cleaned it like they recommended and even took apart and cleaned hair on motor like you tube video recommended but no luck. Called them before I took apart and basically was told that it was out of warranty and could by another."",""Reviewed in the United States on June 12, 2020""";;
"235,""At first we really liked this vacuum, but after a year we had to change out brushes and roller.  We have taken good care of it and now it’s not working today and it’s been two years exactly!,"",""Reviewed in the United States on June 11, 2020""";;
"236,""I really love this vacuum I've had it 2 yrs now! It's my best friend I call her Dee Dee lol my kids also love Dee Dee it's like their pet! I run her every other day it does miss a little cheerio or here and there but not a problem to me! I should run it every day really. Works really good on pet hair, dust, cat litter crumbs and dirt the brissles r real easy to take out and clean. Will buy again when Dee Dee bites the dust <U+0001F602> I bought for only $140 black friday deal."",""Reviewed in the United States on June 11, 2020""";;
"237,""Bought this a little over a year ago, and it worked fine. After having it plugged into the wall for a year, it stopped holding a charge. I am not sure what is wrong and can't get a hold of the company. You would do best buying a different robot."",""Reviewed in the United States on June 11, 2020""";;
"238,""When it worked it was good. 6 months in and it has stopped working. Won’t charge. Used it 1-2 times per week. Not impressed. My other roomba lasted 3 years."",""Reviewed in the United States on June 11, 2020""";;
"239,""Happy with the purchase. No complaints about this vacuum, after 1yrs using it I can say work fine on all types of floors. It works with Alexa, and the response time is instant. Sometimes I need to guide him back to the docking station but not a big deal. It does a great job in maintaining the house clean and collecting dog hair."",""Reviewed in the United States on June 10, 2020""";;
"240,""It was not """"smart"""", it was a basic vacuum. It bounces into objects/walls, turns and goes. Returned this item and bought the iRobot."",""Reviewed in the United States on June 10, 2020""";;
"241,""The suction is fine. But if you’re like me, you want to schedule cleanings during the day while you’re at work. If that’s you, do NOT buy this product. The scheduling feature DOES NOT WORK. It acts like it never knows what day it is. If you set it to run M-F at 07:30, it’ll run at 07:30 on random days, and sometimes not at all.I’ve been in contact with warranty support which is via email. They aren’t helpful. It takes weeks to get through all the troubleshooting steps then they send you a replacement that has the same problem.Repeat the support process. At the end, your vacuum still doesn’t work, but your amazon return window has ended."",""Reviewed in the United States on June 10, 2020""";;
"242,""I am very pleased with Deebot.  A couple of times I have heard it running at night when we’ve had storms & the electricity’s flicked off & on .I just get the controller and search the house for it and “walk” it back to it’s base.  My house gets vacuumed a lot more now.  And the cats ignore it now."",""Reviewed in the United States on June 9, 2020""";;
"243,""You need to deep clean it after few weeks. its a trouble"",""Reviewed in the United States on June 9, 2020""";;
"244,""Am amazed at the dirt this picked up, even though we have/use a Dyson stick vacuum.Very pleased."",""Reviewed in the United States on June 9, 2020""";;
"245,""I named him Lerch and my cats and I love watching him roam around and bump into things lol. It’s also very fun when he sneaks up on a cat and they jump and run when he’s too close <U+0001F606>  It does get stuck on cords and socks but I’m pretty sure that’s my fault and not his. Sometimes he is fearless as to where he wants to go. I love not having to sweep up cat hair, I will never not own one of these as long as my cats and I have hair."",""Reviewed in the United States on June 8, 2020""";;
"246,""I purchased in May 2019 and as of two days ago, this is busted. On the other hand, this had replaced a Roomba I bought that lasted close to ten years. I wouldn't recommend this product."",""Reviewed in the United States on June 8, 2020""";;
"247,""Cleans well, doesnt always find its way home but it tries its darnest. Cleans up pethair just fine and can bridge most elevation changes between carpet and flat floors. It has trapped itself in a room a few times which is more funny and adorable than annoying. Overall a great budget robot vacuum cleaner."",""Reviewed in the United States on June 8, 2020""";;
"248,""This product was awesome! But now 7months later it doesn’t work right. Vacuum starts runs then stops and just beeps. Doesn’t matter what I do clean it out etc. defeats my purpose of robotics when I have to go find it and push the button every few mins. Boo."",""Reviewed in the United States on June 8, 2020""";;
"249,""We have had this for about 2 yrs now and we rarely used it..it stopped working out of the blue. It didnt do a great job when it worked so i am not surprised it didnt last that long. There are better products in the market so would not recommend anyone to get this one."",""Reviewed in the United States on June 7, 2020""";;
"250,""I like the vacuum except for one issue. When the power goes off the vacuum starts driving around. I would prefer it stay put unless I tell it to drive around with all the lights out. Can you either produce a firmware update, issue a voluntary product safety recall, or open source your software. I wouldn’t want Deebot to be responsible for knocking into something while the power is out out. It’s a big safety issue so I don’t leave it plugged in as long as I remember."",""Reviewed in the United States on June 7, 2020""";;
"251,""It stopped working after 2 months. It just started spinning in circles"",""Reviewed in the United States on June 7, 2020""";;
"252,""I absolutely loved this vac at 1st. It was amazing to come home to clean floors! It does tend to get stuck a lot but that was something we worked around. After a little less than a year though """"Robbie"""", as we had affectionately named him, started to have more and more  days where he didn't work at all. We cleaned him, made sure he was on the charger correctly, tried a different area to plug him in. Now, 14 months after purchasing him, he no longer works at all."",""Reviewed in the United States on June 7, 2020""";;
"253,""This vacuum does not maintain cognizance of the settings you establish in the app. I have my time zone properly set. This vacuum tends to operate on days that I have not selected for scheduled cleaning. I first ran into the problem when it would begin a cleaning job on Sunday morning while the schedule was set to MTWThF, so I disabled Monday and it stopped cleaning on Sunday and Monday.  I disabled Friday because it randomly started cleaning on Saturday.  With my scheduled cleaning set to TWTh now, it still fires up randomly on Saturday this week.  I am going to terminate this vacuum robot.  For a while there, the app failed to remember my setting for more than a week or two.  I have owned this vacuum for a couple of years now and it’s not my favorite.  I had an iRobot for years before this one and I own Roborock 20 (excellent).  Why can’t Evovacs make their app work properly or make their robots stick to their schedule?  I don’t know.  It’s just software, so I guess it’s not working."",""Reviewed in the United States on June 6, 2020""";;
"254,""I liked it at first when it was working. I bought this in July 2018. I don’t know what is going on it just stopped working about a month ago. It stopped every minute with beeping, I got “ main brush malfunction” message, I changed the brush and the one around it. I used the new brush, it still gave me the same error message. We watched some YouTube and even cleaned the inside, nothing worked!  So I guess it is time to purchase another vacuum!"",""Reviewed in the United States on June 5, 2020""";;
"255,""Light cleaning. Not for deep clean."",""Reviewed in the United States on June 5, 2020""";;
"256,""We loved this vacuum, but it lasted less than 2 years before the sensors malfunctioned. Simply stopped running one day. Customer support stated """"yeah, it's broken. The sensors malfunctioned but it's past the one year warranty so we can't do anything.""""For the price, I would expect this to last without trouble for more than 2 years. As is, it's a big disappointment and something we will definitely not be purchasing again. Now we have a $200 doorstop..."",""Reviewed in the United States on June 5, 2020""";;
"257,""I would have given this product more stars if it didn't stop working after almost two years. I called customer service and they couldn't figure it out and said they would have a tech contact me....nothing."",""Reviewed in the United States on June 4, 2020""";;
"258,""I purchased in June 2018. Since, I’ve had three separate issues - two of which occurred within the 1 year warranty period and were swiftly addressed by customer service. The third which occurred around the 2 year mark and customer service is completely useless. Apparently I need to buy a new battery for my unit. Shouldn’t the battery last for more than 2 years?I would not buy again, and instead opt for one of the more expensive brands that I can count on to work for years with less issues."",""Reviewed in the United States on June 4, 2020""";;
"259,""We've been using it for about 10 days and love it. Our house has a million walls and furniture everywhere. We have pretty thick carpet in the living room, less thick in bedrooms and wood kitchen floors. After being there the first time to move cords we haven't had a problem.It might miss a few things on the wood floors but our carpet has never looked nicer. I never vacuumed daily!For deep cleaning we will still have to do some ourselves and I haven't tried the edging category yet.We did have to move it around till we found the place where it would hit all of the rooms. I never thought our house could work with one of these. And it makes me laugh to see it go!"",""Reviewed in the United States on June 4, 2020""";;
"260,""If you buy a Deebot... you'll no have support and parts in the future."",""Reviewed in the United States on June 4, 2020""";;
"261,""My main issue is that 10-20 mins into cleaning it stops and returns to base for charging. On the app it says it's at full charge and then suddenly it goes to low. At this point the device is adding no value. Please help!"",""Reviewed in the United States on June 3, 2020""";;
"262,""I absolutely love the EcoVac Deebot S79N! Before buying this one, I was on edge because there were so many of them to choose from, but I went with this one because of the suction power. The only thing that I would change about this device is to have mapping, but for the price, I am so beyond happy with this Vacuum!"",""Reviewed in the United States on June 3, 2020""";;
"263,""Bought this for my husband for his birthday in late 2018 and it worked well. We have two dogs so we ran the vacuum daily to clean up the dog hair. However, last week one of the side brushes stopped spinning. We contacted Ecovacs support and were told because there isn't an error message there is no way to troubleshoot how to fix it. They suggested we sent it somewhere to be fixed. Disappointed as we have no idea how much the cost would be to repair. Product should last longer than 1.5 years!! And Ecovacs should stand behind their products and at least TRY to help. Bummer - will have to purchase a new vacuum. elsewhere. Cannot recommend Ecovacs."",""Reviewed in the United States on June 3, 2020""";;
"264,""I've got this AND the iRobot Roomba 690. I like this one so much better it has prompted me to review two years later.First off - the negative- this one gets stuck ALL the time in high pile carpet. It has such good suction that it cant help it.  It also is a """"little"""" bit of a pain to empty. But it does SO much better, I'm willing to forgive.We had to replace our 1st Deebot due to some serious use - their customer service was nothing but great and easily sent us a NEW replacement. And our original had been a Warehouse item. Yes, the Roomba has broken a few times now (including it's charging base) and it's not as durable as you would think for the price. And they were a PAIN to get help with when it broke.The app allows for SO much more flexibility in scheduling cleaning times. Roomba is once a day, and that's it. No good if you have three indoor pets and tons of floor traffic.The Roomba cost more. The replacement parts cost more. The Roomba is much louder. And the talking errors? After a few years, you get absolutely sick of listening to it. """"Please charge Roomba"""" """"Error. Please charge Roomba"""". when it, again, could not find it's way home or when it's sitting on the dang charger! ugh.The Roomba does a LOUSY job of finding it's way home. We rarely have to find the Deebot. Every other day I am locating the Roomba and placing it on it's charger. I'm about done with it.The Deebot also vacuums MUCH longer and seems to pick up more.My FAVORITE feature on the Deebot is that it will reset itself on it's charger (and continue charging) if my dog accidentally bumps it off. It takes me a day or so to figure out the Roomba was accidentally moved, is not charged and won't be for hours. It has to be *just* right on the charger or no charge.I wanted to get the fancy expensive Roomba with the little trash bin, but the performance of this one totally killed that idea. Save your money, get the cheaper guy and clean that bin."",""Reviewed in the United States on June 3, 2020""";;
"265,""This vacuum was great while it worked.First the good - It did a great job getting into all nooks and crannies of the living room. It was effective on multiple surfaces (hardwood floor and a few rugs of different height).  The scheduling and smart home integration is also a great feature - being able to schedule it to run daily and turn it on/off with voice commands is very convenient.  The battery lasts long enough to thoroughly clean the ~800 sq ft of our second floor.Unfortunately, the Deebot has now malfunctioned and refuses to work.  I get a 'side brush malfunction' error and no amount of cleaning resolves it. Reading through the reviews, it seems like this is a pretty common error with no easy resolution. Also, because it stopped working just ONE WEEK outside of the warranty period, my only option is to spend more money to send it off for repairs and hope the repair cost is less than the cost of a new Deebot.The features and operation are great, but unfortunately I can't recommend buying this product as it just doesn't seem like Ecovacs' build quality is that great."",""Reviewed in the United States on June 2, 2020""";;
"266,""Just shy of one year (within the warranty) the Deebot would beep incessantly when charging.  I contacted customer service but got no reply.  A search showed many people had the same problem.  The machine was still working so I continued to use it but it became less and less convenient, beeping error signals several times while working.  Now it only will vacuum about 15 minutes before needing to be recharged.  This machine had basically an 11 month life.  I not only won't be replacing with another of this brand, I probably won't even try with another robot vacuum brand."",""Reviewed in the United States on June 2, 2020""";;
"267,""The battery dies after 2 years of use.  Did not use much as I am still using the original cleaning accessories.  Expected it to last a lot longer than 2 years.  After some extensive complaining via email, the company sent me a replacement battery."",""Reviewed in the United States on June 2, 2020""";;
